PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
88.08,45.96,254.8,66.49,103.63,54.87,29.4,282
89.75,44.13,252.06,53,92.67,68.69,28.6,298
69.57,43.41,190.18,24.23,63.74,53.82,28.3,240
68.34,48.19,172.35,22.57,64.14,54.68,29,188
61.08,42.91,155.26,17.52,53.3,52.91,28.8,187
85.7,54.68,205.18,33,74.28,60.57,28.1,230
97.62,52.53,220.56,33.74,73.05,64.01,28.3,286
103.58,54.93,293.23,31,75.48,47.52,30,266
145.97,62.84,335.82,62.2,99.01,44.92,29.1,369
180.52,75.42,347.95,80.34,116.95,45.8,28.9,375
151.57,65.07,355.56,71.68,105.02,42.22,28.4,411
144.04,57.05,305.35,25.78,78.07,49.32,28.7,383
148.44,58.32,291.66,35.13,80.91,66.62,28.4,388
130.22,65.15,284.27,56.83,105.26,63.16,28.6,351
147.71,61.29,287.93,100.27,117.2,58.24,28.6,320
111.34,51.83,246.3,87.94,116.75,62.02,28.6,296
100.7,52.92,232.58,74.45,120.68,65.55,29.3,312
97.67,48.92,189.31,25.13,64.57,73.28,29.6,260
75.81,43.47,155.25,14.33,53.25,67.89,28.2,204
95.24,60.8,199.77,42.32,100.2,77.91,27.6,218
148.29,68.24,301.61,60.16,105.17,84.74,28,356
90.66,20.29,137.89,38.65,55.07,44.21,28.1,388
156.71,41.09,263.15,27.5,62.19,71.1,26.7,298
170.28,61.67,312.88,56.52,97.82,92.96,28.2,392
198.1,74.62,336.47,91.29,155.1,101.74,27.7,428
158.04,46.9,265.39,23.76,69.79,79.5,26.5,384
116.98,32.96,213.49,24.37,54.18,48.74,24.7,292
143.73,67.38,289.01,54.93,104.71,69.55,24.1,343
169.22,71.38,341.7,90.18,122.15,47.92,24.9,383
147.65,56.46,281.8,33.05,81.78,65.83,26.4,374
101.61,47.8,214.37,23.78,61.15,85.73,25.4,263
113.2,49.25,260.46,30.2,75.03,63.88,24.7,334
112.89,43.78,254.24,32.12,74.53,71.98,20.8,333
95.72,57.74,183.08,25.74,77.86,73.26,22.1,262
108.4,42.63,156.58,24.98,55.71,60.56,22.3,236
